listing_id,listing_name,listing_type,room_type,guests,bedrooms,beds,baths,has_tv,has_air_con,has_kitchen,has_wifi,has_pool,min_nights,cancellation_policy,num_reviews,rating_overall,rating_checkin,rating_cleanliness,rating_communication,rating_location,ttm_revenue,ttm_avg_rate,ttm_occupancy,ttm_revpar,ttm_reserved_days,ttm_available_days,l90d_revenue,l90d_avg_rate,l90d_occupancy,l90d_revpar,l90d_reserved_days,l90d_available_days
17565001,Myra's Bedsit 1@Horizons101  Condominium Cebu City,Condominium,Entire home,4,,1,1,Yes,Yes,Yes,Yes,Yes,1,Strict,285,4.75,4.8,4.8,4.8,4.8,100425,1535.6,0.203,313.8,65,300,8199,1517,5.60E-02,91.1,5,85
17674884,Cozy 2 BR Unit in Cebu IT Park,Others,Entire home,6,2,4,1,Yes,Yes,Yes,Yes,Yes,2,Moderate,303,4.86,4.9,4.8,4.9,4.9,808168,3026.3,0.745,2238.7,269,96,161228,2747.6,0.686,1874.7,59,31
17692923,Comfy 2 BR San Remo Oasis near SM Seaside,Condominium,Entire home,5,2,3,1,Yes,Yes,Yes,Yes,Yes,1,Very Strict,38,4.29,4.6,4.1,4.6,4.3,116133,2415,0.129,318.2,47,318,11712,2294.1,5.60E-02,130.1,5,85
17737523,2 Bedroom Unit Within the City Hub,Condominium,Entire home,4,2,2,2,Yes,Yes,Yes,Yes,No,3,Strict,4,5,4.8,4.8,5,5,58160,2954.3,0.055,159.3,20,345,5298,2637.9,2.20E-02,58.9,2,88
17745998,Myra's Bedsit 3@Horizons101 Condominium Cebu City,Others,Entire home,4,1,1,1,Yes,Yes,Yes,Yes,Yes,1,Strict,307,4.72,4.9,4.7,4.9,4.9,106263,1535.7,0.187,291.9,68,297,6525,1469.1,4.40E-02,72.5,4,86
17978268,2bedrooms for 5/1bath*AFFORDABLE*SAFE*w/POOL*LIFT,Condominium,Entire home,5,2,4,1,Yes,Yes,Yes,Yes,Yes,1,Very Strict,74,4.27,4.5,4.4,4.7,4.2,53781,2819,4.60E-02,155,16,349,0,2257.6,0,0,0,90
17989987,Fox Homes (One Oasis | WiFi),Others,Entire home,4,2,2,1,Yes,Yes,Yes,Yes,Yes,1,Strict,311,4.8,4.9,4.8,4.9,4.6,446245,2723.2,0.444,1229.3,161,204,102616,2189.9,0.534,1166.1,47,43
18003537,Cozy City Studio - Persimmon (near Ayala&SM),Others,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,7,Flexible,17,4.29,4.8,3.7,4.9,4.9,19125,1349.5,5.00E-02,68.3,14,351,19125,1352.5,0.156,212.5,14,76
18015523,Amazing view & near to IT Park/SM/Ayala + wifi,Others,Entire home,2,,2,1.5,Yes,Yes,Yes,Yes,Yes,3,Very Strict,54,4.67,4.8,4.7,4.8,4.7,250987,1520.9,0.544,847.9,161,204,29111,1402.2,0.318,441.1,21,69
18024410,Myra's Bedsit 2 @ Horizons 101 Cebu City,Condominium,Entire home,3,,1,1,Yes,Yes,Yes,Yes,Yes,1,Strict,224,4.77,4.9,4.8,4.8,4.9,84177,1546.9,0.157,244.7,54,311,6246,1504,4.40E-02,69.4,4,86
18191946,"Myra's Bedsit 4@Horizons101 Condominium, Cebu City",Condominium,Entire home,4,,1,1,Yes,Yes,Yes,Yes,Yes,1,Strict,102,4.88,4.9,4.8,4.9,5,118539,1619.3,0.215,363.6,70,295,21973,1584.6,0.155,261.6,13,77
18228320,Lilly's Place at Horizon 101 Condominium,Condominium,Entire home,2,,2,1,Yes,Yes,Yes,Yes,Yes,3,Strict,163,4.67,4.9,4.6,4.8,4.9,173812,1406,0.396,573.6,120,245,5186,1300,5.00E-02,64.8,4,86
