listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
19263801,"2br near IT Park,Waterfront,Ayala,SM,nocreditcard,",Entire condo,entire_home,https://a0.muscache.com/im/pictures/c19908f3-668e-40c6-8d1e-4ec7d2249057.jpg,15,103984310,Genevieve,464206074,Ivanloyd,FALSE,10.3344,123.8947,8,2,5,1,FALSE,"TV,Wifi,Air conditioning,Bidet,Kitchen,Essentials,Long term stays allowed,Safe,Shampoo,Hot water kettle,Hangers,Dining table,Iron,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Rice maker,Drying rack for clothing,Dishes and silverware",,FALSE,2,Firm,PHP,0,0,77,4.56,4.6,4.8,4.6,4.8,4.5,4.7,2532,143938,34,1918.2,0.197,0,6.9,394.4,0,0,72,0,293,365,519,28945,30,1675.6,0.189,0,5.8,321.6,0,0,17,0,73,90
19441423,Pool Front View 2BR Amalfi Cebu City near NuStar,Entire condo,entire_home,https://a0.muscache.com/im/pictures/389411a0-fff3-4b3c-8d5e-136948a92107.jpg,38,45083198,Nick,,,FALSE,10.2664,123.8759,4,2,3,1,FALSE,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Gym,Resort access,Conditioner,Mini fridge,Elevator,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Rice maker,Children’s books and toys,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Exercise equipment,Patio or balcony,Backyard,Long term stays allowed,Safe,Dining table,Outdoor playground,Sun loungers",,FALSE,4,Moderate,PHP,17,0,45,4.93,5,5,4.8,4.9,4.6,4.9,941,52480,72.5,4092,0.033,0.035,2.6,143.8,2.7,152.6,12,21,353,365,0,0,77.9,4346.3,0,0,0,0,0,0,0,0,90,90
19547040,"2 Bed Condo, City de Mare, Cebu SRP, Nu Star, SM Moa",Entire place,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-19547040/original/e40fc8c5-da53-40d1-9333-b258f4700516.jpeg,43,47022862,Mon,,,TRUE,10.2662,123.8748,4,2,4,1,FALSE,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Gym,Resort access,Elevator,Outdoor furniture,Cleaning products,Clothing storage,Washer,Smoke alarm,Fire extinguisher,Bidet,Essentials,Lock on bedroom door,Hangers,Dedicated workspace,Freezer,Private entrance,Rice maker,Children’s books and toys,Blender,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Patio or balcony,Backyard,Long term stays allowed,Toaster",,FALSE,4,Firm,PHP,0,0,101,4.92,4.9,5,4.8,5,4.7,4.9,13206,745918,44.4,2506.3,0.816,0,36.2,2043.6,0,0,298,0,67,365,3635,202727,44.3,2470,0.911,0,40.4,2252.5,0,0,82,0,8,90
19613673,Luce del Sole's Studio Unit in Cebu City,Entire condo,entire_home,https://a0.muscache.com/im/pictures/101cc97b-4c80-4f11-9ba4-7393ececdff0.jpg,18,89509819,Francesca Isabelle,,,FALSE,10.3245,123.9014,4,,2,1,FALSE,"TV,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water,Elevator,Bed linens,Microwave,Refrigerator,Dishes and silverware,Oven,Stove,Smoke alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Dedicated workspace",FALSE,FALSE,2,Moderate,PHP,5,0,6,4.5,4.2,4.7,4.7,4.7,3.7,4.5,379,21612,35,1978.7,0.03,0,1,59.2,0,0,11,0,354,365,69,3848,34.3,1912.8,0.022,0,0.8,42.8,0,0,2,0,88,90
19852665,"Avida Towers Cebu City PH (Cheap, Fully Furnished)",Entire condo,entire_home,https://a0.muscache.com/im/pictures/2dfd4b7e-68d5-4cd1-bc2a-d3050388615e.jpg,7,132392603,Gian,,,TRUE,10.3316,123.9067,2,1,1,1.5,FALSE,"TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Portable fans,Hot water,Gym,Elevator,Bed linens,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Single level home,Smoke alarm,Fire extinguisher,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Freezer,Private entrance,Rice maker",,FALSE,14,Moderate,PHP,0,0,11,4.82,4.8,4.9,4.6,5,4.9,4.8,1850,106530,26.4,1491.9,0.186,0.215,5.1,291.9,5.9,337.1,68,49,297,365,145,8085,25.1,1399.1,0.067,0,1.6,89.8,0,0,6,0,84,90
20001132,"Chic Studio w/ Netflix @ Avida Tower, Cebu IT Park",Entire condo,entire_home,https://a0.muscache.com/im/pictures/65fec25f-4dd9-4387-a7a2-6caddaf2cc04.jpg,48,90420964,Kent,,,FALSE,10.332,123.9087,2,1,2,1,FALSE,"TV,Cable TV,Window guards,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Elevator,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Dedicated workspace",,FALSE,3,Moderate,PHP,14,0,100,4.61,4.7,4.8,4.4,4.8,4.9,4.5,5778,325963,30.8,1740.2,0.515,0.525,15.8,893,16.1,910.5,188,7,177,365,1764,98387,29.9,1668.2,0.678,0.693,19.6,1093.2,20,1118,61,2,29,90
20096791,Five-Family Flat Bunk Seaview Pool WiFi near CBP,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjAwOTY3OTE=/original/1b34947f-ed59-4b8e-866a-bdb14bf15297.jpeg,31,8002639,Christie,,,FALSE,10.3202,123.9119,5,1,2,1,FALSE,"Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Gym,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Paid parking on premises,Clothing storage,Wine glasses,Washer,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Hangers,Hair dryer,Dedicated workspace,Freezer,Private entrance,Sound system,Rice maker,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Exercise equipment,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table",FALSE,,2,Firm,PHP,8,0,109,4.73,4.8,4.9,4.7,4.9,4.7,4.7,960,55176,20.1,1138,0.115,0,2.6,151.2,0,0,42,0,323,365,0,0,16.5,921.9,0,0,0,0,0,0,0,0,90,90
20117116,San Remo Oasis (2BR)-near SM Seaside/Ocean Park!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/b3e63266-d748-4d9e-ab25-4b6f64d5ecdf.jpg,22,110241343,Marjorie Jane,,,FALSE,10.2691,123.872,5,2,2,1,FALSE,"Cleaning products,Shampoo,Bidet,Hot water,Shower gel,Washer,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Exercise equipment,Children's playroom,Outdoor playground,Air conditioning,Portable fans,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Rice maker,Dining table,Private entrance,Backyard,Pool,Elevator,Gym,Paid parking on premises,Long term stays allowed",,FALSE,1,Strict,PHP,8,0,128,4.74,4.8,4.7,4.8,4.9,4.6,4.8,6111,347466,48.8,2754,0.337,0,16.7,952,0,0,123,0,242,365,524,29224,47.4,2643.5,0.133,0,5.8,324.7,0,0,12,0,78,90
20156353,Kuarto Cebu - Mivesa,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-20156353/original/ece2175c-8ff2-4ab5-abf6-bce26ea7d6a9.jpeg,18,143326175,Nin,,,TRUE,10.3332,123.8957,2,,2,1,FALSE,"TV,Wifi,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water,Gym,Mini fridge,Elevator,Bed linens,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Stove,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",,FALSE,5,Firm,PHP,25,0,56,4.86,4.8,4.9,4.7,4.8,4.6,4.8,6195,348869,20.9,1175,0.83,0,17,955.8,0,0,303,0,62,365,1683,93870,21.3,1188.6,0.867,0,18.7,1043,0,0,78,0,12,90
20178030,"Cozy Modern 2BR Loft Monterrazas Area, Cebu City",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-20178030/original/3fd633b8-1a24-49f6-aa0c-fa9a3365ed3f.jpeg,48,11909654,Michael Amazona,,,FALSE,10.3201,123.8725,5,2,4,3,FALSE,"High chair,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Portable fans,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Smoke alarm,Backyard,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Sound system,Toaster,Rice maker",,FALSE,4,Moderate,PHP,12,0,46,4.63,4.8,4.8,4.7,4.9,4.2,4.6,4324,243515,50.1,2825.1,0.238,0.403,11.8,667.2,20,1127.4,87,149,278,365,291,16230,49.3,2748.5,0.067,0.462,3.2,180.3,22.4,1248.5,6,77,84,90
